ds,yhat
2022-01-01,0.002160980029048754
2022-01-02,0.0020716523522494234
2022-01-03,0.002195665063712899
2022-01-04,0.002181078213073773
2022-01-05,0.002600636935135325
2022-01-06,0.002486907001737687
2022-01-07,0.0025939383198915838
2022-01-08,0.002524080229027827
2022-01-09,0.002468458007216753
2022-01-10,0.0026171861642168967
2022-01-11,0.002618372374285703
2022-01-12,0.003045024765527959
2022-01-13,0.0029301640353944294
2022-01-14,0.0030284591836468046
2022-01-15,0.0029430118369021922
2022-01-16,0.002865799751116997
2022-01-17,0.002987856261800422
2022-01-18,0.0029582407031418963
2022-01-19,0.0033509136200032775
2022-01-20,0.003199819254115395
2022-01-21,0.0032604949816004225
2022-01-22,0.0031368334103761934
2022-01-23,0.0030215082868203665
2022-01-24,0.0031061413593722934
2022-01-25,0.003040265405608737
2022-01-26,0.0033981972387884885
2022-01-27,0.0032141229796684104
2022-01-28,0.0032437148994527844
2022-01-29,0.0030909050130419786
2022-01-30,0.0029483259070142397
2022-01-31,0.003007495176270792
2022-02-01,0.0029177978234283587
2022-02-02,0.0032533795378683296
2022-02-03,0.003048252228012454
2022-02-04,0.003057930220458701
2022-02-05,0.0028862214651359528
2022-02-06,0.0027256834730845936
2022-02-07,0.0027678197118626204
2022-02-08,0.002662070295362658
2022-02-09,0.002982709517272095
2022-02-10,0.002763951396148599
2022-02-11,0.002761581609187023
2022-02-12,0.0025797402871679496
2022-02-13,0.002411365695375713
2022-02-14,0.002448374977799138
2022-02-15,0.002340636391650622
2022-02-16,0.002662846288714337
2022-02-17,0.0024496128107452317
2022-02-18,0.002457065538987587
2022-02-19,0.002289616466337613
2022-02-20,0.0021403832143024985
2022-02-21,0.0022013515385554
2022-02-22,0.0021223323546133823
2022-02-23,0.0024778272533063713
2022-02-24,0.00230210506866442
2022-02-25,0.002350809193327316
2022-02-26,0.0022277213065664777
2022-02-27,0.002125192562252774
2022-02-28,0.00223431922710826
2022-03-01,0.00220391776721619
2022-03-02,0.0026074129434831136
2022-03-03,0.002477940904733689
2022-03-04,0.00256998625068409
2022-03-05,0.002486177879322882
2022-03-06,0.0024177537133350203
2022-03-07,0.0025547702704328485
2022-03-08,0.0025451110093181336
2022-03-09,0.0029614059387455052
2022-03-10,0.0028361634326782544
2022-03-11,0.0029234322395992217
2022-03-12,0.002825617610478387
2022-03-13,0.0027339608740385908
2022-03-14,0.002838757808759559
2022-03-15,0.002788369300486062
2022-03-16,0.0031561365197546754
2022-03-17,0.0029755015091294757
2022-03-18,0.0030016513216478613
2022-03-19,0.002838309992352182
2022-03-20,0.002678188225787328
2022-03-21,0.002713166886095875
2022-03-22,0.002593268679024993
2022-03-23,0.0028935312987696735
2022-03-24,0.0026490840776524673
2022-03-25,0.002616747503228465
2022-03-26,0.0024017811482075282
2022-03-27,0.0021982911620971593
2022-03-28,0.002199374641816647
2022-03-29,0.0020560564287211342
2022-03-30,0.002344132655145953
2022-03-31,0.0020992239882862075
2022-04-01,0.002078358676891831
2022-04-02,0.0018867114945145974
2022-04-03,0.001718010065769526
2022-04-04,0.0017646860078363116
2022-04-05,0.0016768263215377428
2022-04-06,0.0020290390154618105
2022-04-07,0.0018555353528760506
2022-04-08,0.0019117480652991996
2022-04-09,0.0018011106821808507
2022-04-10,0.0017155083628260614
2022-04-11,0.001845476437730231
2022-04-12,0.0018392007791545226
2022-04-13,0.002269432618513708
2022-04-14,0.002168618822942195
2022-04-15,0.0022905656263263463
2022-04-16,0.002237259684192997
2022-04-17,0.0021993556648977654
2022-04-18,0.002366405551638165
2022-04-19,0.00238588291438766
2022-04-20,0.002830114106080136
2022-04-21,0.0027314169496368236
2022-04-22,0.002843764696244409
2022-04-23,0.0027695991469793924
2022-04-24,0.002700302409963982
2022-04-25,0.0028264029569856157
2022-04-26,0.0027965699431961146
2022-04-27,0.003184508643148734
